num_agents,replication,total_customers,avg_wait_min,utilization,throughput_per_hr,queue_95th_percentile
2,1,138,0.7895265617330894,0.7905113680044397,17.25,3.6450047834900534
2,2,135,0.3830402235386092,0.7638051795505489,16.875,2.3631876826400955
2,3,137,0.9602668960081133,0.8181029644345259,17.125,4.390142698347999
2,4,132,0.9149901093621045,0.761771092445134,16.5,4.90947243678016
2,5,133,0.4552247312179431,0.7385137271241955,16.625,2.7401623869864182
2,6,132,0.6546727928752902,0.7567770600356962,16.5,3.7264550401299745
2,7,132,0.47578015634783233,0.7589956576598568,16.5,3.016777339276768
2,8,125,0.20211819037558393,0.6846426510490136,15.625,1.3752094240039183
2,9,140,0.8500985530611469,0.800108574427044,17.5,3.2982659270742216
2,10,133,0.430735642728339,0.7442572133819877,16.625,2.3793407130504067
2,11,139,0.6889511690889465,0.8026567208305941,17.375,3.026506636558386
2,12,133,0.5050522435013849,0.7563896296708126,16.625,2.441524098727018
2,13,140,0.9119323959930761,0.7976958557238859,17.5,3.837430347537871
2,14,131,0.45767304870626374,0.7695007624033845,16.375,2.3321001464603057
2,15,141,0.7314669546819215,0.80410261467404,17.625,3.456411933086258
2,16,137,0.3771086054500715,0.7678464124288442,17.125,2.0922671077712014
2,17,137,0.4594266861473525,0.7593102959246916,17.125,2.2819323617417298
2,18,146,1.3284690798605663,0.8575603846854025,18.25,4.709785383427359
2,19,138,0.7194812560778212,0.7911711421083789,17.25,3.0308132850442804
2,20,133,0.5636694526289779,0.7629452556096223,16.625,3.033337622326078
2,21,134,0.4969196528277911,0.7732941899960682,16.75,2.4683708584427353
2,22,137,0.7424953529140167,0.7875001800210624,17.125,3.4876888639141193
2,23,145,1.6116215724525218,0.8270070881284852,18.125,6.921351495267109
2,24,130,0.5140751780203991,0.7746634845902667,16.25,2.6450611924087815
2,25,138,0.6939671606323025,0.7886059918568351,17.25,3.703542963898653
2,26,139,0.6574671900295637,0.8142987911115817,17.375,2.966282958516123
2,27,142,0.4875530382118353,0.7900471578422807,17.75,2.342466620409311
2,28,139,0.6513497577777013,0.784769435250874,17.375,3.109202639905571
2,29,140,1.3993590488722747,0.8119035895596594,17.5,7.870127235250751
2,30,128,0.5672350568127407,0.7510450085111555,16.0,3.076607660707827
3,1,130,0.014015871716873107,0.5041435381444995,16.25,0.0
3,2,138,0.01686676805509329,0.5134725840246034,17.25,0.0
3,3,142,0.06421894374588373,0.5536111512656098,17.75,0.4189328964942589
3,4,136,0.016966453619749904,0.5169038001393942,17.0,0.0
3,5,142,0.038684593745632406,0.5393271562871396,17.75,0.0
3,6,142,0.02520908269512875,0.54080024122211,17.75,0.0
3,7,134,0.01541385520230272,0.5048802362070131,16.75,0.0
3,8,137,0.06813401793662793,0.5313043670089626,17.125,0.009814287764029369
3,9,143,0.021837785338317327,0.5370868193379882,17.875,0.0
3,10,136,0.03855331886872423,0.5209316222471342,17.0,0.0
3,11,134,0.0015143975166357795,0.5075921540396111,16.75,0.0
3,12,145,0.032676332656778634,0.5693131844863356,18.125,0.0
3,13,144,0.03191702037181719,0.556126306196836,18.0,0.0
3,14,125,0.03415172717645487,0.4896194893951439,15.625,0.0
3,15,134,0.01672298537265864,0.5383146772143559,16.75,0.0
3,16,142,0.045634384483229956,0.5674483755276121,17.75,0.0
3,17,143,0.09101221245361983,0.5492866419815639,17.875,0.6060800044517208
3,18,137,0.017964824275290923,0.5269576383947958,17.125,0.0
3,19,143,0.03058206575645185,0.5506784227431938,17.875,0.0
3,20,138,0.017294313029589888,0.5103561726592586,17.25,0.0
3,21,135,0.025901691377683278,0.5066813797664012,16.875,0.0
3,22,134,0.018259231139652738,0.5156320161854313,16.75,0.0
3,23,139,0.029857336309535364,0.5450476073072495,17.375,0.0
3,24,139,0.02727070468065363,0.5044627565643045,17.375,0.0
3,25,132,0.06931354629368788,0.51345817060965,16.5,0.08352685566244444
3,26,133,0.06773099354065831,0.5311901637154588,16.625,0.029258827688725283
3,27,138,0.03328212618862947,0.5363083600800437,17.25,0.03812940154534348
3,28,140,0.02096957250830128,0.5213701406547917,17.5,0.0
3,29,136,0.02995090587334883,0.5282142427155985,17.0,0.0
3,30,145,0.028596313161063862,0.5628302707637173,18.125,0.0
5,1,131,0.0,0.29808978791865426,16.375,0.0
5,2,135,0.0,0.30772879945430304,16.875,0.0
5,3,144,0.0,0.32659519898348993,18.0,0.0
5,4,131,0.0,0.3014472912404245,16.375,0.0
5,5,137,0.0,0.3201445848907031,17.125,0.0
5,6,142,0.0,0.33623433949796433,17.75,0.0
5,7,133,0.0,0.3068692691526787,16.625,0.0
5,8,138,0.0,0.31604157691317075,17.25,0.0
5,9,137,0.0,0.3203525429579012,17.125,0.0
5,10,136,0.0,0.3057284927385631,17.0,0.0
5,11,141,0.0,0.3229855920706992,17.625,0.0
5,12,136,0.0,0.3198487968274348,17.0,0.0
5,13,143,0.0,0.33773174718718424,17.875,0.0
5,14,135,0.0,0.3040649251288476,16.875,0.0
5,15,143,0.0,0.32433703471176123,17.875,0.0
5,16,136,0.0,0.3150294896335273,17.0,0.0
5,17,138,0.0,0.32043287580201724,17.25,0.0
5,18,150,0.0,0.34478291729445354,18.75,0.0
5,19,129,0.00382495404594161,0.29449077722443906,16.125,0.0
5,20,142,0.0,0.3359159955174773,17.75,0.0
5,21,138,0.0,0.31487738613092614,17.25,0.0
5,22,142,0.0,0.32504311475135894,17.75,0.0
5,23,143,0.0,0.3292806242445161,17.875,0.0
5,24,151,0.0,0.33661739001483626,18.875,0.0
5,25,137,0.0,0.3108247485109075,17.125,0.0
5,26,135,0.0,0.314452883116957,16.875,0.0
5,27,133,0.0,0.2949272598940259,16.625,0.0
5,28,139,0.0,0.2957354813734543,17.375,0.0
5,29,140,0.0,0.32117890323968745,17.5,0.0
5,30,137,0.0,0.3225614612496581,17.125,0.0
